cf_mask_quality,cloud,date_time,landsat_scene,lat,long,reflec_1,reflec_2,reflec_3,reflec_4,reflec_5,reflec_6,reflec_7,station_ID
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.05,-121.8783333,863.0,1150.0,1129.0,581.0,268.0,,260.0,3.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.04833333,-122.0966667,706.0,930.0,759.0,341.0,182.0,,194.0,7.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.06166667,-122.2633333,637.0,828.0,698.0,228.0,132.0,,126.0,11.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.05166667,-122.3116667,592.0,785.0,662.0,177.0,25.0,,37.0,12.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.00666667,-122.405,501.0,633.0,363.0,103.0,46.0,,37.0,14.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.915,-122.4466667,599.0,677.0,402.0,228.0,197.0,,214.0,16.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.14833333,-121.6883333,754.0,965.0,819.0,435.0,258.0,,258.0,657.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.84666667,-122.4216667,510.0,620.0,353.0,229.0,198.0,,149.0,18.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.82,-122.3933333,596.0,619.0,433.0,301.0,240.0,,237.0,20.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.765,-122.3583333,526.0,527.0,353.0,229.0,155.0,,170.0,22.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.72833333,-122.3366667,408.0,418.0,207.0,39.0,6.0,,61.0,23.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.69833333,-122.3383333,392.0,400.0,193.0,40.0,28.0,,16.0,24.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.67,-122.325,438.0,527.0,270.0,156.0,111.0,,60.0,25.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.635,-122.3133333,499.0,594.0,362.0,199.0,174.0,,148.0,26.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.61833333,-122.2916667,532.0,650.0,426.0,246.0,174.0,,170.0,27.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.58,-122.245,645.0,749.0,531.0,323.0,240.0,,237.0,29.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,38.02833333,-122.37,488.0,636.0,332.0,105.0,25.0,,37.0,13.0
1.0,0.0,1999-07-07 18:38:51,LE70440341999188EDC00,37.88166667,-122.4266667,547.0,677.0,386.0,253.0,198.0,,149.0,17.0
1.0,0.0,1999-07-23 18:38:53,LE70440341999204EDC01,38.06333333,-121.855,863.0,1105.0,1075.0,596.0,328.0,,219.0,2.0
1.0,0.0,1999-07-23 18:38:53,LE70440341999204EDC01,38.05,-121.8783333,878.0,1120.0,1086.0,590.0,271.0,,289.0,3.0
1.0,0.0,1999-07-23 18:38:53,LE70440341999204EDC01,38.04833333,-121.935,886.0,1106.0,1105.0,717.0,273.0,,289.0,4.0
1.0,0.0,1999-07-23 18:38:53,LE70440341999204EDC01,38.06,-121.98,895.0,1112.0,1096.0,602.0,265.0,,265.0,5.0
1.0,0.0,1999-07-23 18:38:53,LE70440341999204EDC01,38.065,-122.035,833.0,1078.0,1100.0,609.0,289.0,,243.0,6.0
1.0,0.0,1999-07-23 18:38:53,LE70440341999204EDC01,38.04833333,-122.0966667,781.0,1003.0,884.0,437.0,246.0,,198.0,7.0
